143 1701278497 6,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278498 6,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278499 6,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278500 6,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278501 6,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278502 12,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278503 12,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278504 12,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278505 12,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278506 12,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278507 12,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278508 12,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278509 12,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278510 12,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278511 12,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278512 11,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278513 11,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278514 11,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278515 11,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278516 11,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278517 6,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278518 6,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278519 6,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278520 6,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278521 6,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278522 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278523 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278524 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278525 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278526 0,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278527 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278528 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278529 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278530 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278531 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278537 1,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278538 1,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278539 1,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278540 1,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278541 1,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278542 1,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278543 1,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278544 1,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278545 1,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278546 1,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278547 3,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278548 3,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278549 3,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278550 3,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278551 3,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278552 4,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278553 4,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278554 4,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278555 4,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278556 4,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278557 2,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278558 2,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278559 2,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278560 2,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278561 2,800000 -1,000000 -101,000000 0,000000 0,000000
143 1701278562 3,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278563 3,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278564 3,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278565 3,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278566 3,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278567 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278568 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278569 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278570 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278571 0,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278572 1,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278573 1,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278574 1,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278575 1,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278576 1,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278577 5,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278578 5,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278579 5,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278580 5,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278581 5,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278582 5,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278583 5,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278584 5,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278585 5,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278586 5,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278587 7,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278588 7,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278589 7,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278590 7,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278591 7,600000 -1,000000 -101,000000 0,000000 0,000000
143 1701278592 6,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278593 6,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278594 6,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278595 6,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278596 6,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278597 2,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278598 2,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278599 2,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278600 2,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278601 2,200000 -1,000000 -101,000000 0,000000 0,000000
143 1701278602 4,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278603 4,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278604 4,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278605 4,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278606 4,000000 -1,000000 -101,000000 0,000000 0,000000
143 1701278607 1,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278608 1,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278609 1,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278610 1,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278611 1,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278612 1,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278613 1,400000 -1,000000 -101,000000 0,000000 0,000000
143 1701278614 1,400000 -1,000000 -101,000000 0,000000 0,000000
