131 1701278492 0,000405 0,800000 0,000281 0,000620 0,000000
128 1701278492 0,113624 0,800000 0,099073 0,149595 0,010676
131 1701278493 0,000405 0,800000 0,000281 0,000620 0,000000
128 1701278493 0,113624 0,800000 0,099073 0,149595 0,010676
131 1701278494 0,000405 0,800000 0,000281 0,000620 0,000000
128 1701278494 0,113624 0,800000 0,099073 0,149595 0,010676
131 1701278495 0,000405 0,800000 0,000281 0,000620 0,000000
128 1701278495 0,113624 0,800000 0,099073 0,149595 0,010676
131 1701278496 0,000405 0,800000 0,000281 0,000620 0,000000
128 1701278496 0,113624 0,800000 0,099073 0,149595 0,010676
134 1701278497 0,123188 0,600000 0,098981 0,157761 0,009483
131 1701278497 0,000355 1,000000 0,000275 0,000462 0,000000
137 1701278497 0,057453 0,200000 0,057453 0,057453 0,000660
128 1701278497 0,104078 1,000000 0,097625 0,109768 0,010852
134 1701278498 0,123188 0,600000 0,098981 0,157761 0,009483
131 1701278498 0,000355 1,000000 0,000275 0,000462 0,000000
137 1701278498 0,057453 0,200000 0,057453 0,057453 0,000660
128 1701278498 0,104078 1,000000 0,097625 0,109768 0,010852
134 1701278499 0,123188 0,600000 0,098981 0,157761 0,009483
131 1701278499 0,000355 1,000000 0,000275 0,000462 0,000000
137 1701278499 0,057453 0,200000 0,057453 0,057453 0,000660
128 1701278499 0,104078 1,000000 0,097625 0,109768 0,010852
134 1701278500 0,123188 0,600000 0,098981 0,157761 0,009483
131 1701278500 0,000355 1,000000 0,000275 0,000462 0,000000
137 1701278500 0,057453 0,200000 0,057453 0,057453 0,000660
128 1701278500 0,104078 1,000000 0,097625 0,109768 0,010852
134 1701278501 0,123188 0,600000 0,098981 0,157761 0,009483
131 1701278501 0,000355 1,000000 0,000275 0,000462 0,000000
137 1701278501 0,057453 0,200000 0,057453 0,057453 0,000660
128 1701278501 0,104078 1,000000 0,097625 0,109768 0,010852
134 1701278502 0,107943 0,800000 0,102147 0,112783 0,009339
131 1701278502 0,000330 0,200000 0,000330 0,000330 0,000000
154 1701278502 0,058708 0,200000 0,058708 0,058708 0,000689
157 1701278502 0,057914 0,200000 0,057914 0,057914 0,000671
137 1701278502 0,058722 0,200000 0,058722 0,058722 0,000690
128 1701278502 0,098954 0,200000 0,098954 0,098954 0,001958
160 1701278502 0,133750 0,400000 0,110888 0,156612 0,007365
134 1701278503 0,107943 0,800000 0,102147 0,112783 0,009339
131 1701278503 0,000330 0,200000 0,000330 0,000330 0,000000
154 1701278503 0,058708 0,200000 0,058708 0,058708 0,000689
157 1701278503 0,057914 0,200000 0,057914 0,057914 0,000671
137 1701278503 0,058722 0,200000 0,058722 0,058722 0,000690
128 1701278503 0,098954 0,200000 0,098954 0,098954 0,001958
160 1701278503 0,133750 0,400000 0,110888 0,156612 0,007365
134 1701278504 0,107943 0,800000 0,102147 0,112783 0,009339
131 1701278504 0,000330 0,200000 0,000330 0,000330 0,000000
154 1701278504 0,058708 0,200000 0,058708 0,058708 0,000689
157 1701278504 0,057914 0,200000 0,057914 0,057914 0,000671
137 1701278504 0,058722 0,200000 0,058722 0,058722 0,000690
128 1701278504 0,098954 0,200000 0,098954 0,098954 0,001958
160 1701278504 0,133750 0,400000 0,110888 0,156612 0,007365
134 1701278505 0,107943 0,800000 0,102147 0,112783 0,009339
131 1701278505 0,000330 0,200000 0,000330 0,000330 0,000000
154 1701278505 0,058708 0,200000 0,058708 0,058708 0,000689
157 1701278505 0,057914 0,200000 0,057914 0,057914 0,000671
137 1701278505 0,058722 0,200000 0,058722 0,058722 0,000690
128 1701278505 0,098954 0,200000 0,098954 0,098954 0,001958
160 1701278505 0,133750 0,400000 0,110888 0,156612 0,007365
134 1701278506 0,107943 0,800000 0,102147 0,112783 0,009339
131 1701278506 0,000330 0,200000 0,000330 0,000330 0,000000
154 1701278506 0,058708 0,200000 0,058708 0,058708 0,000689
157 1701278506 0,057914 0,200000 0,057914 0,057914 0,000671
137 1701278506 0,058722 0,200000 0,058722 0,058722 0,000690
128 1701278506 0,098954 0,200000 0,098954 0,098954 0,001958
160 1701278506 0,133750 0,400000 0,110888 0,156612 0,007365
164 1701278507 0,100643 0,200000 0,100643 0,100643 0,002026
134 1701278507 0,109903 0,200000 0,109903 0,109903 0,002416
179 1701278507 0,095659 0,200000 0,095659 0,095659 0,001830
154 1701278507 0,052075 0,200000 0,052075 0,052075 0,000542
176 1701278507 0,058557 0,200000 0,058557 0,058557 0,000686
170 1701278507 15,449382 0,200000 15,449382 15,449382 47,736681
157 1701278507 0,058917 0,400000 0,055930 0,061903 0,001392
173 1701278507 0,157720 0,400000 0,143381 0,172059 0,010032
167 1701278507 15,449512 0,200000 15,449512 15,449512 47,737486
160 1701278507 0,114515 0,400000 0,110538 0,118491 0,005252
164 1701278508 0,100643 0,200000 0,100643 0,100643 0,002026
167 1701278508 15,449512 0,200000 15,449512 15,449512 47,737486
134 1701278508 0,109903 0,200000 0,109903 0,109903 0,002416
179 1701278508 0,095659 0,200000 0,095659 0,095659 0,001830
154 1701278508 0,052075 0,200000 0,052075 0,052075 0,000542
176 1701278508 0,058557 0,200000 0,058557 0,058557 0,000686
170 1701278508 15,449382 0,200000 15,449382 15,449382 47,736681
157 1701278508 0,058917 0,400000 0,055930 0,061903 0,001392
173 1701278508 0,157720 0,400000 0,143381 0,172059 0,010032
160 1701278508 0,114515 0,400000 0,110538 0,118491 0,005252
164 1701278509 0,100643 0,200000 0,100643 0,100643 0,002026
134 1701278509 0,109903 0,200000 0,109903 0,109903 0,002416
179 1701278509 0,095659 0,200000 0,095659 0,095659 0,001830
154 1701278509 0,052075 0,200000 0,052075 0,052075 0,000542
176 1701278509 0,058557 0,200000 0,058557 0,058557 0,000686
170 1701278509 15,449382 0,200000 15,449382 15,449382 47,736681
