offline_datapoint_11 1701257468 28230,000
offline_datapoint_5 1701257468 4986,000
offline_datapoint_26 1701257468 585789440,000
offline_datapoint_14 1701257468 483356672,000
offline_datapoint_3 1701257468 14059450368,000
offline_datapoint_9 1701257468 72994816,000
offline_datapoint_25 1701257468 770,000
offline_datapoint_19 1701257466 195,337
offline_datapoint_8 1701257466 14659,949
offline_datapoint_21 1701257468 72994816,000
offline_datapoint_1 1701257466 19,000
offline_datapoint_20 1701257468 10293039104,000
offline_datapoint_7 1701257468 6265331712,000
offline_datapoint_6 1701257466 0,391
offline_datapoint_12 1701257466 6,049
offline_datapoint_24 1701257466 2,604
offline_datapoint_13 1701257466 12992,583
offline_datapoint_18 1701257468 0,000
offline_datapoint_0 1701257466 24038,129
offline_datapoint_16 1701257466 2686,385
offline_datapoint_28 1701257466 0,557
offline_datapoint_17 1701257466 44,334
offline_datapoint_10 1701257466 99,466
offline_datapoint_29 1701257466 6,667
offline_datapoint_22 1701257466 22581,895
offline_datapoint_4 1701257466 0,006
offline_datapoint_11 1701257471 28230,000
offline_datapoint_5 1701257471 5002,000
offline_datapoint_26 1701257471 585809920,000
offline_datapoint_14 1701257471 483356672,000
offline_datapoint_3 1701257471 14084612096,000
offline_datapoint_9 1701257471 73183232,000
offline_datapoint_25 1701257471 762,000
offline_datapoint_19 1701257469 69,143
offline_datapoint_8 1701257469 13525,487
offline_datapoint_21 1701257471 73179136,000
offline_datapoint_1 1701257469 6,648
offline_datapoint_20 1701257471 10316251136,000
offline_datapoint_7 1701257471 6283776000,000
offline_datapoint_6 1701257469 0,130
offline_datapoint_12 1701257469 3,723
offline_datapoint_24 1701257469 1,558
offline_datapoint_13 1701257469 11104,476
offline_datapoint_18 1701257471 0,000
offline_datapoint_0 1701257469 20265,959
offline_datapoint_16 1701257469 2083,273
offline_datapoint_28 1701257469 0,710
offline_datapoint_17 1701257469 47,204
offline_datapoint_10 1701257469 99,573
offline_datapoint_29 1701257469 3,989
offline_datapoint_22 1701257469 12951,437
offline_datapoint_4 1701257469 0,007
offline_datapoint_11 1701257474 28230,000
offline_datapoint_5 1701257474 5004,000
offline_datapoint_26 1701257474 585424896,000
offline_datapoint_14 1701257474 483352576,000
offline_datapoint_3 1701257474 14096543744,000
offline_datapoint_9 1701257474 72552448,000
offline_datapoint_25 1701257474 758,000
offline_datapoint_19 1701257472 13,015
offline_datapoint_8 1701257472 14416,089
offline_datapoint_21 1701257474 72552448,000
offline_datapoint_1 1701257472 2,002
offline_datapoint_20 1701257474 10326429696,000
offline_datapoint_7 1701257474 6296506368,000
offline_datapoint_6 1701257472 0,000
offline_datapoint_12 1701257472 2,102
offline_datapoint_24 1701257472 0,652
offline_datapoint_13 1701257472 10424,542
offline_datapoint_18 1701257474 0,000
offline_datapoint_0 1701257472 18833,788
offline_datapoint_16 1701257472 3168,276
offline_datapoint_28 1701257472 0,907
offline_datapoint_17 1701257472 38,711
offline_datapoint_10 1701257472 99,532
offline_datapoint_29 1701257472 9,678
offline_datapoint_22 1701257472 13038,345
offline_datapoint_4 1701257472 0,009
offline_datapoint_11 1701257477 28230,000
offline_datapoint_5 1701257477 4995,000
offline_datapoint_26 1701257477 585547776,000
offline_datapoint_14 1701257477 483356672,000
offline_datapoint_3 1701257477 14080696320,000
offline_datapoint_9 1701257477 71569408,000
offline_datapoint_25 1701257477 759,000
offline_datapoint_19 1701257475 26,029
offline_datapoint_8 1701257475 14695,722
offline_datapoint_21 1701257477 71569408,000
offline_datapoint_1 1701257475 2,670
offline_datapoint_20 1701257477 10311962624,000
offline_datapoint_7 1701257477 6296457216,000
offline_datapoint_6 1701257475 0,065
offline_datapoint_12 1701257475 2,792
offline_datapoint_24 1701257475 0,978
offline_datapoint_13 1701257475 10035,525
offline_datapoint_18 1701257477 0,000
offline_datapoint_0 1701257475 17787,503
offline_datapoint_16 1701257475 3412,472
offline_datapoint_28 1701257475 0,411
offline_datapoint_17 1701257475 31,368
offline_datapoint_10 1701257475 99,677
offline_datapoint_29 1701257475 10,679
offline_datapoint_22 1701257475 15730,383
offline_datapoint_4 1701257475 0,004
offline_datapoint_11 1701257480 28230,000
offline_datapoint_5 1701257480 4993,000
offline_datapoint_26 1701257480 585641984,000
offline_datapoint_14 1701257480 483356672,000
offline_datapoint_3 1701257480 14084661248,000
offline_datapoint_9 1701257480 72040448,000
offline_datapoint_25 1701257480 758,000
offline_datapoint_19 1701257478 12,325
offline_datapoint_8 1701257478 9582,688
