84 1701293797 0,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293798 0,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293799 0,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293800 0,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293801 0,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293802 0,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293803 0,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293804 0,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293805 0,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293806 0,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293807 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293808 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293809 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293810 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293811 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293812 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293813 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293814 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293815 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293816 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293817 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293818 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293819 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293820 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293821 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293822 2,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293823 2,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293824 2,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293825 2,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293826 2,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293827 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293828 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293829 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293830 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293831 1,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293832 1,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293833 1,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293834 1,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293835 1,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293836 1,200000 -1,000000 -101,000000 0,000000 0,000000
84 1701293837 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293838 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293839 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293840 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293841 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293842 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293843 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293844 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293845 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293846 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293847 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293848 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293849 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293850 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293851 1,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293852 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293853 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293854 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293855 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293856 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293857 2,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293858 2,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293859 2,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293860 2,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293861 2,400000 -1,000000 -101,000000 0,000000 0,000000
84 1701293862 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293863 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293864 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293865 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293866 1,800000 -1,000000 -101,000000 0,000000 0,000000
84 1701293867 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293868 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293869 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293870 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293871 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293872 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293873 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293874 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293875 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293876 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293877 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293878 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293879 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293880 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293881 2,600000 -1,000000 -101,000000 0,000000 0,000000
84 1701293882 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293883 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293884 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293885 2,000000 -1,000000 -101,000000 0,000000 0,000000
84 1701293886 2,000000 -1,000000 -101,000000 0,000000 0,000000
